Va,Vb,Vc,Ia,Ib,Ic,Distance,Resistance,Label
14471.2812916446,14471.3915320234,14471.4189159245,6.02333226383962,6.02943317773801,6.03596113547675,15,80.0,2
14471.2812916446,14471.3915320234,14471.4189159245,6.02333226383962,6.02943317773801,6.03596113547675,15,100.0,2
14471.2823799434,14471.3927162287,14471.420118279,6.0235430060977,6.02965791990766,6.03618832422508,20,0.001,2
14471.2823799434,14471.3927162287,14471.420118279,6.0235430060977,6.02965791990766,6.03618832422508,20,1.0,2
14471.2823799434,14471.3927162287,14471.420118279,6.0235430060977,6.02965791990766,6.03618832422508,20,5.0,2
14471.2823799434,14471.3927162287,14471.420118279,6.0235430060977,6.02965791990766,6.03618832422508,20,10.0,2
14471.2823799434,14471.3927162287,14471.420118279,6.0235430060977,6.02965791990766,6.03618832422508,20,20.0,2
14471.2823799434,14471.3927162287,14471.420118279,6.0235430060977,6.02965791990766,6.03618832422508,20,50.0,2
14471.2823799434,14471.3927162287,14471.420118279,6.0235430060977,6.02965791990766,6.03618832422508,20,80.0,2
14471.2823799434,14471.3927162287,14471.420118279,6.0235430060977,6.02965791990766,6.03618832422508,20,100.0,2
14471.2832946755,14471.3937194401,14471.421139876,6.02372063897408,6.0298485595844,6.03638127794732,25,0.001,2
14471.2832946755,14471.3937194401,14471.421139876,6.02372063897408,6.0298485595844,6.03638127794732,25,1.0,2
14471.2832946755,14471.3937194401,14471.421139876,6.02372063897408,6.0298485595844,6.03638127794732,25,5.0,2
14471.2832946755,14471.3937194401,14471.421139876,6.02372063897408,6.0298485595844,6.03638127794732,25,10.0,2
14471.2832946755,14471.3937194401,14471.421139876,6.02372063897408,6.0298485595844,6.03638127794732,25,20.0,2
14471.2832946755,14471.3937194401,14471.421139876,6.02372063897408,6.0298485595844,6.03638127794732,25,50.0,2
14471.2832946755,14471.3937194401,14471.421139876,6.02372063897408,6.0298485595844,6.03638127794732,25,80.0,2
14471.2832946755,14471.3937194401,14471.421139876,6.02372063897408,6.0298485595844,6.03638127794732,25,100.0,2
14471.2840166078,14471.3945382618,14471.4219729139,6.02386471562504,6.03000496472558,6.03653975095105,30,0.001,2
14471.2840166078,14471.3945382618,14471.4219729139,6.02386471562504,6.03000496472558,6.03653975095105,30,1.0,2
14471.2840166078,14471.3945382618,14471.4219729139,6.02386471562504,6.03000496472558,6.03653975095105,30,5.0,2
14471.2840166078,14471.3945382618,14471.4219729139,6.02386471562504,6.03000496472558,6.03653975095105,30,10.0,2
14471.2840166078,14471.3945382618,14471.4219729139,6.02386471562504,6.03000496472558,6.03653975095105,30,20.0,2
14471.2840166078,14471.3945382618,14471.4219729139,6.02386471562504,6.03000496472558,6.03653975095105,30,50.0,2
14471.2840166078,14471.3945382618,14471.4219729139,6.02386471562504,6.03000496472558,6.03653975095105,30,80.0,2
14471.2840166078,14471.3945382618,14471.4219729139,6.02386471562504,6.03000496472558,6.03653975095105,30,100.0,2
14471.2845273181,14471.3951638871,14471.4226166475,6.02397470995162,6.03012700469929,6.03666347521584,35,0.001,2
14471.2845273181,14471.3951638871,14471.4226166475,6.02397470995162,6.03012700469929,6.03666347521584,35,1.0,2
14471.2845273181,14471.3951638871,14471.4226166475,6.02397470995162,6.03012700469929,6.03666347521584,35,5.0,2
14471.2845273181,14471.3951638871,14471.4226166475,6.02397470995162,6.03012700469929,6.03666347521584,35,10.0,2
14471.2845273181,14471.3951638871,14471.4226166475,6.02397470995162,6.03012700469929,6.03666347521584,35,20.0,2
14471.2845273181,14471.3951638871,14471.4226166475,6.02397470995162,6.03012700469929,6.03666347521584,35,50.0,2
14471.2845273181,14471.3951638871,14471.4226166475,6.02397470995162,6.03012700469929,6.03666347521584,35,80.0,2
14471.2845273181,14471.3951638871,14471.4226166475,6.02397470995162,6.03012700469929,6.03666347521584,35,100.0,2
14471.2849162149,14471.3956268449,14471.4230852335,6.02405186190057,6.03021471626274,6.03675290999753,40,0.001,2
14471.2849162149,14471.3956268449,14471.4230852335,6.02405186190057,6.03021471626274,6.03675290999753,40,1.0,2
14471.2849162149,14471.3956268449,14471.4230852335,6.02405186190057,6.03021471626274,6.03675290999753,40,5.0,2
14471.2849162149,14471.3956268449,14471.4230852335,6.02405186190057,6.03021471626274,6.03675290999753,40,10.0,2
14471.2849162149,14471.3956268449,14471.4230852335,6.02405186190057,6.03021471626274,6.03675290999753,40,20.0,2
14471.2849162149,14471.3956268449,14471.4230852335,6.02405186190057,6.03021471626274,6.03675290999753,40,50.0,2
14471.2849162149,14471.3956268449,14471.4230852335,6.02405186190057,6.03021471626274,6.03675290999753,40,80.0,2
14471.2849162149,14471.3956268449,14471.4230852335,6.02405186190057,6.03021471626274,6.03675290999753,40,100.0,2
14471.2851180047,14471.3959062507,14471.4233658527,6.02409509336148,6.03026792814451,6.03680756453752,45,0.001,2
14471.2851180047,14471.3959062507,14471.4233658527,6.02409509336148,6.03026792814451,6.03680756453752,45,1.0,2
14471.2851180047,14471.3959062507,14471.4233658527,6.02409509336148,6.03026792814451,6.03680756453752,45,5.0,2
14471.2851180047,14471.3959062507,14471.4233658527,6.02409509336148,6.03026792814451,6.03680756453752,45,10.0,2
14471.2851180047,14471.3959062507,14471.4233658527,6.02409509336148,6.03026792814451,6.03680756453752,45,20.0,2
14471.2851180047,14471.3959062507,14471.4233658527,6.02409509336148,6.03026792814451,6.03680756453752,45,50.0,2
14471.2851180047,14471.3959062507,14471.4233658527,6.02409509336148,6.03026792814451,6.03680756453752,45,80.0,2
14471.2851180047,14471.3959062507,14471.4233658527,6.02409509336148,6.03026792814451,6.03680756453752,45,100.0,2
14471.2851366688,14471.3960022226,14471.4234600141,6.02410433544926,6.03028656452193,6.0368273637033,50,0.001,2
14471.2851366688,14471.3960022226,14471.4234600141,6.02410433544926,6.03028656452193,6.0368273637033,50,1.0,2
14471.2851366688,14471.3960022226,14471.4234600141,6.02410433544926,6.03028656452193,6.0368273637033,50,5.0,2
14471.2851366688,14471.3960022226,14471.4234600141,6.02410433544926,6.03028656452193,6.0368273637033,50,10.0,2
14471.2851366688,14471.3960022226,14471.4234600141,6.02410433544926,6.03028656452193,6.0368273637033,50,20.0,2
14471.2851366688,14471.3960022226,14471.4234600141,6.02410433544926,6.03028656452193,6.0368273637033,50,50.0,2
14471.2851366688,14471.3960022226,14471.4234600141,6.02410433544926,6.03028656452193,6.0368273637033,50,80.0,2
14471.2851366688,14471.3960022226,14471.4234600141,6.02410433544926,6.03028656452193,6.0368273637033,50,100.0,2
14471.2849744643,14471.3959123031,14471.4233711336,6.02407961787499,6.03027055422872,6.03681227181236,55,0.001,2
14471.2849744643,14471.3959123031,14471.4233711336,6.02407961787499,6.03027055422872,6.03681227181236,55,1.0,2
14471.2849744643,14471.3959123031,14471.4233711336,6.02407961787499,6.03027055422872,6.03681227181236,55,5.0,2
14471.2849744643,14471.3959123031,14471.4233711336,6.02407961787499,6.03027055422872,6.03681227181236,55,10.0,2
14471.2849744643,14471.3959123031,14471.4233711336,6.02407961787499,6.03027055422872,6.03681227181236,55,20.0,2
14471.2849744643,14471.3959123031,14471.4233711336,6.02407961787499,6.03027055422872,6.03681227181236,55,50.0,2
14471.2849744643,14471.3959123031,14471.4233711336,6.02407961787499,6.03027055422872,6.03681227181236,55,80.0,2
14471.2849744643,14471.3959123031,14471.4233711336,6.02407961787499,6.03027055422872,6.03681227181236,55,100.0,2
14471.2846090377,14471.3956314774,14471.4230916668,6.0240201040444,6.03021974671416,6.0367618963325,60,0.001,2
